station_id,name,lat,lon,capacity
6060,19 - Italia - Santa Sofia,45.45621307011987,9.187812079479983,30
2318,V3 - Commenda - Berchet,45.45548125196515,9.199369054959675,20
2317,V2 - Hajech,45.46462568280333,9.218510547706359,20
2316,V1 - Apulejo - Campania,45.46261856885451,9.22441043509366,20
2298,503 -Bovio - Crespi,45.5029420194373,9.18452979160363,39
2297,502 - UniCredit - Lampugnano M1,45.4896150218253,9.12624654490679,36
2296,501 - Cascina Merlata - Social Village,45.5116249347622,9.10076199729425,30
2295,500 - Cascina Merlata - UpTown,45.5072021392292,9.10339201326996,30
2257,367 - Velasquez - Osoppo,45.46746408237823,9.141293924937429,27
2256,378 - San Gimignano - Soderini,45.454482280084505,9.135837717010645,27
2255,368 - Tolstoi - Lorenteggio,45.453710246267775,9.149430356583878,30
2254,382 - Ciclamini - Palazzo Del Ghiaccio,45.45442249822776,9.128908618100752,30
2253,373 - Brunelleschi - Giambellino,45.448811391009684,9.144573636957375,24
2252,356 - Giambellino - Odazio,45.44714020889242,9.1352729970192,30
2251,379 - Inganni - Corba,45.450949690897374,9.125978599462883,30
2250,377 - Inganni - Lorenteggio,45.447323784397895,9.127862006174439,24
2249,376 - Tirana - San Cristoforo,45.443207285664045,9.130320445665745,36
2247,274 - Passerini Belloveso,45.51543961377326,9.193499962296183,30
2246,364 - Fezzan - Caterina da Forlì,45.4597611323961,9.1461441574621,30
2245,357 - Ciceri Visconti - Martini,45.4557114393844,9.22033353904083,36
2244,359 - Tertulliano - Caroncini,45.449209375464,9.21804812568328,27
2243,381 - Primaticcio - Legioni Romane,45.459189635387,9.12967044518899,30
2242,366 - Carlini - Dalviano,45.4530460437914,9.14203769137316,30
2241,370 - Primaticcio - Corba,45.4530012694861,9.13344878650244,30
2240,372 - Soderini - Provincia di Milano,45.4565991971634,9.14228987095253,30
2239,362 - Bottini 2 - Lambrate M2,45.485060201592,9.23576418463039,24
2238,361 - Bottini 1 - Lambrate M2,45.484573752732,9.23677669212935,33
2237,352 - Cordusio - Dante,45.46557,9.18566,30
2236,380 - Inganni M1 - Zurigo,45.4568842675658,9.12287776850851,30
2235,358 - Insubria - Bruno,45.4524786390243,9.2214320870205,27
2233,350 - Beccaria  2- Bersaglieri,45.46314852,9.19483504416882,33
2232,369 - San Gimignano - Tuberose,45.4589204992567,9.13620803583359,30
2231,363 - Tripoli,45.4595449087548,9.14968979786846,30
2230,354 - Foro Buonaparte,45.4676613908782,9.17841242366944,30
2229,385 - Ortles - Orobia,45.4398549637213,9.20626558483846,27
